Name,Abbreviation,Lat,Long,Altitude(m),planting,harvest
ALLAINS210,AL210,29.87029007,-91.56856382,3,9/1/2020,11/15/2021
ALLAINS220,AL220,29.87029007,-91.56856382,3,9/1/2021,11/15/2022
ALLAINS221,AL221,29.87029007,-91.56856382,3,11/15/2021,11/15/2022
ALLAINS230,AL230,29.87029007,-91.56856382,3,9/1/2022,11/15/2023
ALLAINS231,AL231,29.87029007,-91.56856382,3,11/15/2022,11/15/2023
ALLAINS232,AL232,29.87029007,-91.56856382,3,11/15/2022,11/15/2023
ALMA210,ALM210,30.63741008,-91.51167272,7,9/1/2020,11/15/2021
ALMA220,ALM220,30.63741008,-91.51167272,7,9/1/2021,11/15/2022
ALMA221,ALM221,30.63741008,-91.51167272,7,11/15/2021,11/15/2022
ALMA230,ALM230,30.63741008,-91.51167272,7,9/1/2022,11/15/2023
ALMA231,ALM231,30.63741008,-91.51167272,7,11/15/2022,11/15/2023
ALMA232,ALM232,30.63741008,-91.51167272,7,11/15/2022,11/15/2023
BRUNSWICK210,BR210,30.70881672,-91.54813514,9,9/1/2020,11/15/2021
BRUNSWICK220,BR220,30.70881672,-91.54813514,9,9/1/2021,11/15/2022
BRUNSWICK221,BR221,30.70881672,-91.54813514,9,11/15/2021,11/15/2022
BRUNSWICK230,BR230,30.70881672,-91.54813514,9,9/1/2022,11/15/2023
BRUNSWICK231,BR231,30.70881672,-91.54813514,9,11/15/2022,11/15/2023
BRUNSWICK232,BR232,30.70881672,-91.54813514,9,11/15/2022,11/15/2023
GLENWOOD210,GL210,29.94823897,-91.04120394,4,9/1/2020,11/15/2021
GLENWOOD220,GL220,29.94823897,-91.04120394,4,9/1/2021,11/15/2022
GLENWOOD221,GL221,29.94823897,-91.04120394,4,11/15/2021,11/15/2022
GLENWOOD230,GL230,29.94823897,-91.04120394,4,9/1/2022,11/15/2023
GLENWOOD231,GL231,29.94823897,-91.04120394,4,11/15/2022,11/15/2023
GLENWOOD232,GL232,29.94823897,-91.04120394,4,11/15/2022,11/15/2023
HARPER210,HA210,31.01876188,-92.2724888,18,9/1/2020,11/15/2021
HARPER220,HA220,31.01876188,-92.2724888,18,9/1/2021,11/15/2022
HARPER221,HA221,31.01876188,-92.2724888,18,11/15/2021,11/15/2022
HARPER230,HA230,31.01876188,-92.2724888,18,9/1/2022,11/15/2023
HARPER231,HA231,31.01876188,-92.2724888,18,11/15/2022,11/15/2023
HARPER232,HA232,31.01876188,-92.2724888,18,11/15/2022,11/15/2023
LANAUX210,LANA210,30.03185532,-90.49775029,3,9/1/2020,11/15/2021
LANAUX220,LANA220,30.03185532,-90.49775029,3,9/1/2021,11/15/2022
LANAUX221,LANA221,30.03185532,-90.49775029,3,11/15/2021,11/15/2022
LANAUX230,LANA230,30.03185532,-90.49775029,3,9/1/2022,11/15/2023
LANAUX231,LANA231,30.03185532,-90.49775029,3,11/15/2022,11/15/2023
LANAUX232,LANA232,30.03185532,-90.49775029,3,11/15/2022,11/15/2023
LANDRY210,LAND210,30.21604326,-91.20219174,3,9/1/2020,11/15/2021
LANDRY220,LAND220,30.21604326,-91.20219174,3,9/1/2021,11/15/2022
LANDRY221,LAND221,30.21604326,-91.20219174,3,11/15/2021,11/15/2022
LANDRY230,LAND230,30.21604326,-91.20219174,3,9/1/2022,11/15/2023
LANDRY231,LAND231,30.21604326,-91.20219174,3,11/15/2022,11/15/2023
LANDRY232,LAND232,30.21604326,-91.20219174,3,11/15/2022,11/15/2023
MARY210,MA210,29.71452189,-90.57077601,1,9/1/2020,11/15/2021
MARY220,MA220,29.71452189,-90.57077601,1,9/1/2021,11/15/2022
MARY221,MA221,29.71452189,-90.57077601,1,11/15/2021,11/15/2022
MARY230,MA230,29.71452189,-90.57077601,1,9/1/2022,11/15/2023
MARY231,MA231,29.71452189,-90.57077601,1,11/15/2022,11/15/2023
MARY232,MA232,29.71452189,-90.57077601,1,11/15/2022,11/15/2023
RHEBERT210,RH210,29.90400585,-91.69575351,3,9/1/2020,11/15/2021
RHEBERT220,RH220,29.90400585,-91.69575351,3,9/1/2021,11/15/2022
RHEBERT221,RH221,29.90400585,-91.69575351,3,11/15/2021,11/15/2022
RHEBERT230,RH230,29.90400585,-91.69575351,3,9/1/2022,11/15/2023
RHEBERT231,RH231,29.90400585,-91.69575351,3,11/15/2022,11/15/2023
RHEBERT232,RH232,29.90400585,-91.69575351,3,11/15/2022,11/15/2023
STJOHN210,ST210,30.15697938,-91.80590235,5,9/1/2020,11/15/2021
STJOHN220,ST220,30.15697938,-91.80590235,5,9/1/2021,11/15/2022
STJOHN221,ST221,30.15697938,-91.80590235,5,11/15/2021,11/15/2022
STJOHN230,ST230,30.15697938,-91.80590235,5,9/1/2022,11/15/2023
STJOHN231,ST231,30.15697938,-91.80590235,5,11/15/2022,11/15/2023
STJOHN232,ST232,30.15697938,-91.80590235,5,11/15/2022,11/15/2023
